X0.5,X0.6,X0.7,X0.8,X0.9
378.171258926,236.608165979,191.712205887,151.813728809,109.664347887
361.758684874,257.76489377,197.004401922,154.166316986,130.115630865
338.312465906,298.753800869,256.346761942,195.149487972,151.113355875
359.887713909,298.315557003,218.829651833,193.719070911,154.318179846
359.970072031,258.979097843,217.607655048,174.731628895,136.463690042
362.448632956,278.058554173,217.709351063,178.379379034,154.140172005
340.635096073,278.637778997,199.192784071,176.662913084,152.028497934
318.845161915,239.186959982,194.210452795,151.305309772,128.921762943
382.207214117,280.958404064,198.39686203,154.951992035,129.313334942
364.708308935,280.937954903,220.43905282,175.476645947,152.546383858
